County,Total Rate,Violent Rate,Property Rate,Pop.Pct.Change 2010-16,"Owner Occupy House Rate, 2011-2015",Persons per household,"High School grad or Higher, 2011-2015","Bachelor's Degree or Higher, 2011-2015","Persons w/out health insurance, under 65 pct",Civilian Labor Force Partcipation Rate,Median Household income,Poverty Pct.,Population Density(sq.m),Unemployment Rate,DROPOUT_PCT,DivorceRate
Albany,2.8122476905068403,0.353435948651269,2.458811741855571,1.5,58.3,2.35,92.8,38.6,5.5,64.8,59887.0,12.6,590.7536342769702,4.0,9.047881991007337,2.3239953326157714
Allegany,1.2164411626616587,0.17072858423321524,1.0457125784284433,-3.8,73.1,2.36,88.6,20.0,6.2,57.0,42776.0,16.8,45.73646423332136,6.2,5.210237659963437,2.591546921747925
Bronx,2.5258956766820617,0.94750232298192,1.5783933537001416,5.1,19.0,2.86,70.6,18.9,11.1,59.5,34299.0,30.3,34577.672209026125,7.1,15.895440318077997,3.6806637699561096
Broome,2.7796913396189558,0.3290183941845999,2.4506729454343557,-2.7,65.7,2.37,89.9,27.2,6.4,58.7,46261.0,17.7,276.76721878232286,5.4,8.840775823184483,3.4746422339456777
Cattaraugus,1.619945158799883,0.18369139845060298,1.43625376034928,-3.3,71.3,2.41,87.9,17.8,7.5,59.2,42601.0,18.0,59.37019910574388,5.9,9.561849431130478,2.977336310669644
Cayuga,1.8421935916965735,0.23753582401693735,1.6046577676796365,-2.7,71.1,2.43,87.7,21.4,6.7,61.4,52082.0,12.7,112.58422742126723,5.0,9.7392397109645,2.771816881258941
Chautauqua,2.559257853940328,0.27567195037904896,2.2835859035612787,-4.0,69.6,2.36,88.2,20.9,6.6,58.1,42993.0,17.2,122.14708129368155,5.8,9.116854288885365,2.7909679688635025
Chemung,2.396544517207747,0.1997120431006456,2.1968324741071013,-2.8,69.1,2.35,89.7,23.4,5.1,56.9,50320.0,14.9,211.91113293236774,5.7,15.88702559576346,4.513557901023303
Chenango,2.000870845342014,0.20527068776047605,1.7956001575815381,-3.8,75.3,2.49,87.2,17.4,6.5,57.7,45668.0,14.3,54.36629175759611,5.0,8.189158016147635,2.722954712963721
Clinton,1.7193648901965164,0.1651086862065969,1.5542562039899197,-1.3,68.1,2.32,85.7,22.1,6.8,55.7,49930.0,17.5,78.11629811629813,5.3,9.119318181818182,3.13842291171801
Columbia,1.320593362497122,0.15952373121073576,1.1610696312863862,-3.3,71.9,2.37,88.4,29.3,7.2,61.8,59105.0,13.6,96.08955270911125,3.7,8.875,2.828854314002829
Cortland,1.7075507059264503,0.08954229311565533,1.6180084128107952,-2.5,65.7,2.54,89.9,23.6,5.2,63.5,49514.0,16.2,96.37901996952442,5.7,8.71771217712177,5.05217140264775
Delaware,1.475303244321876,0.20627340194166052,1.2690298423802158,-5.1,72.7,2.31,87.0,20.2,7.3,55.5,43720.0,16.9,31.559718255178723,5.5,6.900328587075576,2.2365535361431395
Dutchess,1.4004580714646018,0.1925672451636651,1.2078908263009367,-1.0,69.1,2.61,89.9,33.4,6.2,64.5,71904.0,10.4,370.1129922200018,4.2,7.582289742010538,3.0735002738762622
Erie,2.8149572817312345,0.41344480642671166,2.4015124753045227,0.2,65.0,2.33,90.4,31.6,5.4,63.0,51247.0,15.6,883.3363703497683,4.9,8.207252343866262,3.3503942214100055
Essex,1.073330602212208,0.15294278301242661,0.9203878191997815,-3.2,73.8,2.37,88.8,24.2,6.8,58.3,52758.0,12.2,21.235850476248864,5.3,6.571654790182106,2.157076771141951
Franklin,1.4081978657624412,0.21541837039992023,1.1927794953625213,-2.3,72.7,2.36,84.9,17.7,7.8,52.5,47923.0,18.3,30.942472009428403,5.6,7.163561076604555,3.237268061587051
Fulton,2.055579564457639,0.2743278029349317,1.781251761522707,-3.1,70.4,2.4,86.0,16.2,6.7,59.8,46969.0,17.9,108.640280945365,5.7,14.334470989761092,3.2226996592087715
Genesee,2.161177824735007,0.21646137195279078,1.9447164527822156,-2.4,73.0,2.45,90.8,20.0,5.8,65.4,50880.0,13.4,118.63918529638495,4.6,5.118694362017804,2.952305003647963
Greene,1.1123162976669008,0.2126799804334418,0.8996363172334588,-3.5,75.2,2.55,86.5,20.6,6.9,53.1,50278.0,16.4,73.4099758946783,5.0,6.66353824495542,2.351706036745407
Hamilton,1.1595447713120033,0.10736525660296328,1.0521795147090403,-6.2,85.5,3.38,90.7,24.5,7.5,50.7,48243.0,11.1,2.644741668947286,6.5,4.62962962962963,1.4855687606112054
Herkimer,1.6982008683253496,0.19385123119562953,1.50434963712972,-2.9,71.0,2.4,89.8,22.4,6.4,61.3,46229.0,12.7,44.36013517821845,5.5,9.514499837080482,2.1711568938193344
Jefferson,2.030235736248719,0.24000683293474545,1.790228903313973,-1.9,55.5,2.54,89.4,20.7,6.5,54.3,49505.0,14.1,89.86827895537566,6.2,7.426427019553625,5.253538487694989
Kings,1.922987387137765,0.5875857881685668,1.335401598969198,5.0,29.3,2.74,79.3,32.8,10.2,63.2,48201.0,22.3,37124.399887037565,5.3,10.384224388891456,1.4078016941406701
Lewis,0.8707676208984229,0.11211600269078408,0.7586516182076388,-0.8,76.5,2.54,89.0,15.2,7.1,60.6,49819.0,14.0,21.075877867386325,6.7,6.25494853523357,3.2273620951886337
Livingston,1.37568940267348,0.1417754650546848,1.2339139376187953,-1.5,72.7,2.42,88.6,23.6,5.7,58.8,51734.0,13.2,101.71109282005825,4.9,4.270873412851096,2.6577251726748767
Madison,1.4339187211527638,0.17167623550602276,1.262242485646741,-2.9,75.1,2.55,90.4,26.2,5.5,58.4,54145.0,12.9,108.92584448109461,5.2,6.3347083087802,2.1433840415315455
Monroe,2.501659770515769,0.3319541031538993,2.16970566736187,0.4,64.2,2.41,90.2,36.2,5.5,64.6,52553.0,14.8,1137.7291885394318,4.7,8.879749768303984,2.4946638207043756
Montgomery,2.077784780531441,0.1687437737613597,1.9090410067700816,-2.0,67.1,2.5,84.3,16.2,7.5,60.0,43764.0,18.4,122.26081778483524,5.7,12.637362637362637,2.1957213649732084
Nassau,1.1254595405258336,0.13382527948469528,0.9916342610411386,1.6,80.3,3.03,90.8,42.8,6.5,65.2,99465.0,6.1,4781.890980612531,3.9,2.405633292030584,1.9399860432658758
New York,2.8314116577471307,0.5364466945925639,2.294964963154566,3.6,22.9,2.09,86.6,59.9,7.9,67.6,72871.0,17.6,71998.8611476128,4.5,9.984917503313579,6.306407105303803
Niagara,2.914613926486168,0.4014423419528626,2.5131715845333056,-2.2,70.9,2.39,90.5,23.2,5.5,62.1,49449.0,15.5,405.38708936365725,5.8,8.00369875680674,2.219588811767583
Oneida,2.264642082429501,0.2837310195227766,1.9809110629067246,-1.6,65.7,2.43,87.8,23.2,6.0,59.3,48246.0,18.0,190.68317346156067,4.8,7.998869417750141,2.150537634408602
Onondaga,2.386782483181689,0.303932434638417,2.082850048543272,-0.2,65.3,2.43,90.2,34.1,5.8,63.1,55092.0,14.6,598.9208494456507,4.5,8.382154123479046,2.599991888366851
Ontario,1.70936254067183,0.15031391778561937,1.5590486228862106,1.6,72.8,2.38,92.3,31.7,5.7,64.1,57416.0,9.6,170.52183768845,4.3,5.284857571214393,3.477514809101779
Orange,1.947110717486762,0.2468131055631355,1.7002976119236262,1.7,68.8,2.9,89.1,29.2,6.5,64.1,70848.0,12.1,467.1857482536436,4.3,6.013307319025464,2.3169785540465035
Orleans,1.8216799396020555,0.1899612771242785,1.6317186624777769,-3.6,75.6,2.43,85.4,15.4,7.0,54.9,46359.0,14.2,105.6739763839902,5.7,6.614017769002961,2.837766341205329
Oswego,1.935087970006977,0.2227620816906381,1.712325888316339,-2.6,72.1,2.57,86.4,17.6,6.5,59.1,47860.0,17.4,125.03231229969002,6.4,9.979823063790159,2.7216886121885038
Otsego,1.2998715146256403,0.1501777102905104,1.14969380433513,-3.4,73.4,2.36,89.9,27.7,6.4,58.4,48588.0,16.8,59.99500848557452,4.9,6.113902847571189,2.6222046309123295
Putnam,0.6138154278385146,0.037663633217288627,0.576151794621226,-0.9,82.0,2.84,92.4,37.9,5.5,68.5,96148.0,6.0,429.42121488428637,4.0,1.964085297418631,2.4333111205347224
Queens,1.4421844058904274,0.39920347045890053,1.042980935431527,4.6,43.6,2.91,80.4,30.4,12.9,64.2,57720.0,13.9,21496.858011609693,4.5,10.497582877332619,2.505611012547293
Rensselaer,2.2674797972192944,0.2955127239873513,1.971967073231943,0.4,65.0,2.43,90.8,28.6,5.2,66.3,60709.0,12.0,245.34432812715542,4.3,6.586357947434293,2.8639886189210437
Richmond,1.32772769909606,0.3341928265267922,0.9935348725692678,1.6,68.8,2.81,88.7,30.8,6.4,59.2,73197.0,14.2,8155.131060476272,5.2,8.402483925921855,1.7279236679183576
Rockland,1.088956444803654,0.11755953747669474,0.9713969073269594,4.8,68.9,3.17,87.3,40.3,7.5,65.6,84855.0,14.0,1882.9155862863727,4.2,5.431662618679621,1.901624662231587
St. Lawrence,1.579286732720024,0.15711133108715591,1.4221754016328683,-1.7,71.4,2.42,88.0,22.3,6.8,54.3,44705.0,18.5,41.05313425708295,6.6,8.374703216058709,1.9007810318268217
Saratoga,1.2420518856444995,0.11150590494564086,1.130545980698859,3.4,71.6,2.44,94.1,39.0,4.9,66.8,71496.0,6.4,280.3192671423986,3.8,5.087483176312248,3.089516417752123
Schenectady,3.038612855319038,0.45139522159401785,2.58721763372502,-0.1,66.5,2.65,90.5,30.5,5.7,64.4,58114.0,12.0,755.6864854292978,4.3,11.943290849205212,3.1887920105560013
Schoharie,1.2475696694750487,0.11665586519766688,1.1309138042773819,-4.4,76.7,2.46,88.2,19.6,6.2,59.2,51195.0,13.7,50.36344922968061,5.4,7.142857142857142,2.4577082668368977
Schuyler,0.6540294867531317,0.07205409599822636,0.5819753907549052,-1.3,77.2,2.35,89.9,19.5,6.5,56.8,47680.0,12.5,55.12441750677672,6.0,7.575757575757576,2.5844055867150555
Seneca,1.856786976420833,0.1940791379410231,1.66270783847981,-1.3,72.3,2.37,85.3,20.2,6.9,56.7,49292.0,14.1,107.43257854252263,4.7,10.044977511244378,2.468923147589929
Steuben,1.5395272855104531,0.19334560267995615,1.346181682830497,-2.1,70.0,2.36,89.3,21.3,5.9,59.5,47280.0,15.4,69.71292141295594,5.8,7.943531394858828,3.8819637205395825
Suffolk,1.4868140531322696,0.12170200624116287,1.3651120468911064,-0.04132065362978837,79.5,2.98,89.9,34.0,6.9,65.2,88663.0,7.8,1636.514445479963,4.3,3.9298767267546304,1.995888350125567
Sullivan,1.6593354537456857,0.2679840292346214,1.3913514245110645,-3.5,65.5,2.54,86.0,22.2,8.8,59.0,50710.0,18.1,77.26338404966275,4.8,11.275476660092044,2.310455814201958
Tioga,0.9465273509526736,0.12907191149354638,0.8174554394591272,-4.5,78.4,2.5,90.9,24.4,5.4,63.4,57514.0,11.7,94.02236791361356,5.1,9.25848345203184,3.4173862050836146
Tompkins,1.7411867913913284,0.13921865911453118,1.6019681322767974,3.2,55.5,2.35,94.2,50.8,6.4,58.3,52624.0,20.1,220.94385336563784,4.1,5.812608444187392,1.9061052551321884
Ulster,1.4739330651757403,0.16358360130418706,1.3103494638715532,-1.8,69.0,2.44,89.7,30.1,7.5,62.2,58918.0,14.0,159.41880737209138,4.4,8.514652245000628,2.703407848209478
Warren,1.865322177822178,0.17326423576423577,1.692057942057942,-1.7,70.5,2.4,90.9,28.2,5.8,62.8,56798.0,11.3,74.47603668031604,5.2,8.047888260724974,3.431857531535988
Washington,0.9219282583996103,0.15419574744359682,0.7677325109560137,-2.3,72.3,2.45,88.5,19.4,6.2,61.3,51143.0,13.3,74.35212589330831,4.6,9.9381143065162,3.4227864374096093
Wayne,1.569881290865039,0.16263040856741418,1.4072508822976246,-3.1,77.6,2.48,89.6,20.6,6.4,62.8,50798.0,12.2,150.37013729029692,4.9,6.009980472987633,2.416726811451567
Westchester,1.2848437862128232,0.21627708078241234,1.0685667054304109,2.7,61.5,2.75,87.5,46.7,8.2,65.4,83958.0,10.1,2263.7444831591174,4.2,3.7945478574468563,2.911728438051774
Wyoming,0.8067898645481236,0.11842787002541263,0.6883619945227111,-3.3,75.2,2.38,87.2,15.2,6.0,58.4,52564.0,13.3,68.81653310839309,5.3,4.424103737604882,3.0721966205837172
Yates,1.2891270192966202,0.06848487290013294,1.2206421463964874,-1.7,76.6,2.46,85.8,23.7,9.6,61.4,49510.0,13.6,73.7061572129887,4.4,9.41860465116279,2.27563078888534
